date,amount,score,is_injected_event,alert
2025-10-01,360587.93,3.270024333933444,False,False
2025-10-02,365023.78,4.259155687852306,False,True
2025-10-03,376210.62,5.161775787146088,False,True
2025-10-04,244044.44,4.51278843126614,False,True
2025-10-05,250192.62,5.5678099825144205,False,True
2025-10-06,376376.0,5.312974586679358,False,True
2025-10-07,365531.68,4.204123041930307,False,True
2025-10-08,374884.2,4.438616053145264,False,True
2025-10-09,361060.05,3.9310051099862293,False,False
2025-10-10,345833.29,2.6313478606502194,False,False
2025-10-11,540538.3999999999,28.41324970535398,True,True
2025-10-12,116861.14,17.311580291707674,False,True
2025-10-13,322216.89,0.6434655761539126,False,False
2025-10-14,304381.99,1.2980904190637377,False,False
2025-10-15,281804.25,4.139308710007305,False,True
2025-10-16,269024.85,4.9124884098396775,False,True
2025-10-17,265711.62,5.28958846356481,False,True
2025-10-18,162393.97,7.729473770966188,False,True
2025-10-19,160848.42,7.70966499556194,False,True
2025-10-20,252964.07,6.629241426786208,False,True
2025-10-21,256459.91,6.446898630698929,False,True
2025-10-22,254804.27,7.166388840150886,False,True
2025-10-23,252039.97,6.872577028684737,False,True
2025-10-24,267947.39,5.037752964797266,False,True
2025-10-25,177250.99,5.098394352634581,False,True
2025-10-26,187677.19,3.0733135411178343,False,False
2025-10-27,319529.56,0.3917492020144667,False,False
2025-10-28,314943.16,0.2729419367212678,False,False
2025-10-29,837687.125,28.603953529517423,True,True
2025-10-30,326930.65,0.9466245063206368,False,False
2025-10-31,338948.95,2.0270153713377974,False,False
2025-11-01,229467.71,2.6617426949955294,False,False
2025-11-02,146326.69,10.553511250883362,False,True
2025-11-03,371521.54,4.922802212126538,False,True
2025-11-04,372099.26,4.739339306233259,False,True
2025-11-05,368174.99,3.8958516386088857,False,False
2025-11-06,365674.82,4.312713284511388,False,True
2025-11-07,365533.93,4.296481471111973,False,True
2025-11-08,238848.52,3.8659745956819176,False,False
2025-11-09,241550.5,4.5112900173235815,False,True
2025-11-10,357876.63,3.79817589887285,False,False
2025-11-11,355163.26,3.339269386556974,False,False
2025-11-12,327137.38,0.34396868122306085,False,False
2025-11-13,306074.39,1.0346190840549625,False,False
2025-11-14,274045.98,4.361350864931425,False,True
2025-11-15,117933.46,17.344274111332922,False,True
2025-11-16,171625.51,5.76051064300807,False,True
2025-11-17,259360.84,5.878675415277078,False,True
2025-11-18,241673.88,8.231676571916985,False,True
2025-11-19,600812.75,18.614708642559883,True,True
2025-11-20,141293.69,24.266967739772674,False,True
2025-11-21,242621.56,8.021877274097482,False,True
2025-11-22,160676.95,8.048944919248177,False,True
2025-11-23,165722.35,6.812475206127191,False,True
2025-11-24,271746.85,4.476576318081175,False,True
2025-11-25,288429.6,2.9160409000447123,False,False
2025-11-26,289046.54,3.376654201252331,False,False
2025-11-27,307645.82,0.8807055162139308,False,False
2025-11-28,293661.65,2.2835565157570143,False,False
2025-11-29,212358.77,0.3329042310507501,False,False
2025-11-30,223741.95,2.2095003195614273,False,False
2025-12-01,358545.96,3.8543353287520206,False,False
2025-12-02,346067.39,2.5595124776375515,False,False
2025-12-03,358974.3,3.1352249590652437,False,False
2025-12-04,357466.27,3.6303531941469123,False,False
2025-12-05,380568.57,5.507929880411811,False,True
2025-12-06,226068.32,2.2131655198806808,False,False
2025-12-07,225960.69,2.5060758563534287,False,False
2025-12-08,353756.62,3.450160527099288,False,False
2025-12-09,346113.26,2.56349594064415,False,False
2025-12-10,321418.46,0.18609655353473056,False,False
2025-12-11,313701.97,0.29480082224576687,False,False
2025-12-12,306910.55,0.9572729943787766,False,False
2025-12-13,218076.52,1.1314385342035473,False,False
2025-12-14,185998.34,3.34337996288877,False,False
2025-12-15,689797.1000000001,23.52077612727856,True,True
2025-12-16,261478.19,5.864471361489637,False,True
2025-12-17,264170.16,6.081459809399745,False,True
2025-12-18,250188.17,7.094215952365678,False,True
2025-12-19,235696.97,8.892155548580451,False,True
2025-12-20,157772.75,8.59715592079324,False,True
2025-12-21,144510.12,10.928966502354145,False,True
2025-12-22,253647.65,6.548133103964376,False,True
2025-12-23,251588.17,7.023324743749702,False,True
2025-12-24,255157.94,7.124700812226575,False,True
2025-12-25,151856.01,22.100223269882697,False,True
2025-12-26,276577.2,4.085019843948263,False,True
2025-12-27,177540.63,5.049322145652197,False,True
2025-12-28,194963.9,1.9284786073272608,False,False
2025-12-29,306818.59,0.8282903062913103,False,False
2025-12-30,315352.75,0.233879773011345,False,False
2025-12-31,335967.32,1.1444528816348865,False,False
