date,volume
2024-01-01,9.0
2024-01-02,32.0
2024-01-03,51.0
2024-01-04,53.0
2024-01-05,64.0
2024-01-06,53.0
2024-01-07,55.0
2024-01-08,110.0
2024-01-09,120.0
2024-01-10,126.0
2024-01-11,128.0
2024-01-12,135.0
2024-01-13,101.0
2024-01-14,110.0
2024-01-15,172.0
2024-01-16,165.0
2024-01-17,185.0
2024-01-18,197.0
2024-01-19,186.0
2024-01-20,123.0
2024-01-21,122.0
2024-01-22,219.0
2024-01-23,257.0
2024-01-24,244.0
2024-01-25,288.0
2024-01-26,290.0
2024-01-27,218.0
2024-01-28,208.0
2024-01-29,386.0
2024-01-30,392.0
2024-01-31,452.0
2024-02-01,466.0
2024-02-02,485.0
2024-02-03,334.0
2024-02-04,382.0
2024-02-05,527.0
2024-02-06,621.0
2024-02-07,518.0
2024-02-08,594.0
2024-02-09,623.0
2024-02-10,411.0
2024-02-11,366.0
2024-02-12,559.0
2024-02-13,583.0
2024-02-14,520.0
2024-02-15,549.0
2024-02-16,542.0
2024-02-17,370.0
2024-02-18,348.0
2024-02-19,557.0
2024-02-20,512.0
2024-02-21,549.0
2024-02-22,573.0
2024-02-23,609.0
2024-02-24,402.0
2024-02-25,440.0
2024-02-26,706.0
2024-02-27,751.0
2024-02-28,795.0
2024-02-29,859.0
2024-03-01,971.0
2024-03-02,663.0
2024-03-03,677.0
2024-03-04,1116.0
2024-03-05,1097.0
2024-03-06,1017.0
2024-03-07,1076.0
2024-03-08,1053.0
2024-03-09,686.0
2024-03-10,638.0
2024-03-11,1037.0
2024-03-12,1040.0
2024-03-13,987.0
2024-03-14,994.0
2024-03-15,963.0
2024-03-16,579.0
2024-03-17,587.0
2024-03-18,819.0
2024-03-19,860.0
2024-03-20,908.0
2024-03-21,869.0
2024-03-22,889.0
2024-03-23,624.0
2024-03-24,630.0
2024-03-25,1083.0
2024-03-26,1022.0
2024-03-27,1120.0
2024-03-28,1236.0
2024-03-29,727.0
2024-03-30,828.0
2024-03-31,909.0
2024-04-01,1451.0
2024-04-02,1498.0
2024-04-03,1528.0
2024-04-04,1540.0
2024-04-05,1552.0
2024-04-06,1017.0
2024-04-07,1064.0
2024-04-08,1552.0
2024-04-09,1556.0
2024-04-10,1513.0
2024-04-11,1493.0
2024-04-12,1441.0
2024-04-13,936.0
2024-04-14,901.0
2024-04-15,1355.0
2024-04-16,1301.0
2024-04-17,1290.0
2024-04-18,1221.0
2024-04-19,1148.0
2024-04-20,753.0
2024-04-21,465.0
2024-04-22,1192.0
2024-04-23,1332.0
2024-04-24,1273.0
2024-04-25,1454.0
2024-04-26,1495.0
2024-04-27,1007.0
2024-04-28,1110.0
2024-04-29,1707.0
2024-04-30,1827.0
2024-05-01,1152.0
2024-05-02,2002.0
2024-05-03,2001.0
2024-05-04,1380.0
2024-05-05,1493.0
2024-05-06,2100.0
2024-05-07,2206.0
2024-05-08,2127.0
2024-05-09,2029.0
2024-05-10,2004.0
2024-05-11,1265.0
2024-05-12,1258.0
2024-05-13,1888.0
2024-05-14,1789.0
2024-05-15,1761.0
2024-05-16,1731.0
2024-05-17,1599.0
2024-05-18,1053.0
2024-05-19,1065.0
2024-05-20,1608.0
2024-05-21,1628.0
2024-05-22,1672.0
2024-05-23,1706.0
2024-05-24,1746.0
2024-05-25,1226.0
2024-05-26,1282.0
2024-05-27,2049.0
2024-05-28,2073.0
2024-05-29,2274.0
2024-05-30,2376.0
2024-05-31,2451.0
2024-06-01,1591.0
2024-06-02,1627.0
2024-06-03,2690.0
2024-06-04,2585.0
2024-06-05,2764.0
2024-06-06,2686.0
2024-06-07,2680.0
2024-06-08,1703.0
2024-06-09,1694.0
2024-06-10,2506.0
2024-06-11,2441.0
2024-06-12,2431.0
2024-06-13,2282.0
2024-06-14,2288.0
2024-06-15,1367.0
2024-06-16,1365.0
2024-06-17,1969.0
2024-06-18,1950.0
2024-06-19,1943.0
2024-06-20,1963.0
2024-06-21,1974.0
2024-06-22,1251.0
2024-06-23,1404.0
2024-06-24,2139.0
2024-06-25,2314.0
2024-06-26,2301.0
