account_id,count_recent,count_previous,activity_ratio,recency,mean_amount,tenure
1527,-0.9916923019754404,-0.6713179503533837,-0.22518564564603108,-0.29782007891430284,-0.24517875427784055,0.014606878960027546
4137,-1.1633570696389908,-0.7628664303799881,-0.2529381544068517,-0.29756463976867037,1.4546216466147475,-0.30071391195796743
364,0.8853476663288119,-0.0859611165849332,-0.2849135709424822,-0.6149035507334258,-0.09971297060638196,0.009078499512178454
3885,-1.024751603290022,-0.5818725434745836,-0.35369519682045547,-0.3602785437999835,-0.15066986146354125,-0.18407377985925313
922,-1.1090755369147125,1.173476944038453,-0.4150420666546929,-0.29436372781723336,0.7015870276191701,0.21145453970854988
1418,-0.9633027819337061,0.9929209367187417,-0.2279646765974169,-0.3530883219318256,-0.16436925558820495,-0.44634428168002044
4478,2.7568120958018256,0.8143246345996197,0.1607983937493765,0.16166502537042796,-0.33884174269194733,0.2559600186809466
203,-1.0506329759894946,1.060774124345675,-0.6570890814208313,-0.35347885392490075,-0.3215943361998089,-0.1065056090881221
2519,0.9213904441185812,-0.03307418025030512,-0.2745968950094707,-0.5868923591467411,-0.33419715124615773,0.4884718296735824
1629,-0.981672951703492,-0.8510884029093073,1.2344923729156858,-0.6978337828566046,-0.29420771878227464,0.1770973452345193
1387,-1.0743608682026513,0.24882698028855366,-0.6289351509953149,-0.3050779927787921,0.016014404967498348,-0.1805538605597189
3253,0.7869643148641529,0.18407367811876935,-0.3679381057096114,-0.013932041907737317,0.022402051156813964,-0.17188586257368008
995,-1.0082020136583816,-0.7128865530136708,-0.32162799185849167,-0.3067638909973196,-0.07082206406932197,0.05989145669976131
587,-1.0386478343358885,-0.5506474313786257,-0.5286326701366759,-0.3559964687652844,-0.13734898333818266,0.08464348866671198
2118,3.010276537191925,0.2274833415059955,-0.7029424982163184,-0.1902871020846258,0.06716422680230716,0.19444749556339055
1109,0.8881981895190516,-0.19634083285274634,0.0394085265270672,-0.5974747586487087,-0.12931346036735233,-0.27111992488878234
1427,0.6279496377511284,0.31664777379305226,-0.31845334358780947,0.0032491714939051437,0.00471425033550641,-0.3515059957065474
2319,-0.9632022589291878,0.30068849545691856,-0.5627076496654654,-0.3567445274470479,-0.1821190397110136,-0.31383968011955454
1207,-1.0524942877936423,-0.5564993309319165,-0.19502155871886523,-0.357657068179139,-0.029091249321077393,0.060457462819086136
3139,-1.076119453278712,0.35980204934590393,-0.5723281706188372,-0.355630616340474,-0.1312695445825446,0.7767210762356169
384,-1.0268019087886684,-0.656908302021799,-0.24209152044753351,-0.298323775852842,0.020115299970949553,-0.29105918028268146
2095,0.6733640812382474,0.9540299616609944,-0.4203704350776232,-0.07087900464713161,-0.04427598435429009,-0.5243082800212785
2329,-1.039931582068511,0.2732191152851781,-0.2360298826506653,-0.3554744600262684,0.5216674318332419,0.04695254361400012
1276,0.7772368093572097,0.2790258359293805,-0.266606631271483,0.22836413344105133,-0.20822875610107092,0.17225299950795733
768,-1.1275952030688408,-0.7612737370916549,-0.25495457643008174,-0.2769605996673802,-0.06203571208845941,0.0480996895006522
1158,0.7748258767372138,0.28883468850344574,-0.372997605318954,-0.5521821526030085,-0.5075580299414839,-0.16170083574402355
3397,-0.9812002672505608,0.12014505819552107,-0.6175055016633574,-0.5363610664620178,0.10408656586045087,0.04362798194244263
4679,-1.1397399582756529,-0.8410711604644521,-0.37600773821202665,-0.18325722490153726,-0.06051829237722801,-0.29105918028268146
1530,-1.0369875685407774,1.248737259357316,0.029391311916236135,-0.3504759140741381,0.605793976450371,0.7009513985199077
4581,2.911729940961785,1.097166067423948,0.9967276578543202,-0.39240814381177413,0.9113160558154921,0.02943374224469798
2895,0.8840074304051732,-0.8162070380431301,1.5450121329793538,-0.48684276564323187,-0.07609966142666474,0.21808183115781643
1248,2.773819791728746,0.22440508778673715,-0.2844929360287842,-0.171680882137724,0.5379402523129088,-0.19595696162309414
97,-1.028403084035092,-0.6454358757987283,-0.3144622676052277,-0.2990901463350823,-0.009896912358053317,0.06363624972515583
3356,2.1903562878576,0.48500341339702857,0.525480155439095,0.2504309831476182,-0.7399468108619917,-0.3005392431985811
4176,0.9484636941780458,1.5560017182705173,0.9493325019355553,-0.32426424400021764,0.06487068666965629,-0.10116518153364296
1382,-1.024751603290022,-0.5818725434745836,-0.2326420350385106,-0.3602785437999835,-0.15218728117477262,-0.18407377985925313
2892,-1.0637923421492324,0.08311388753591717,-0.6010771920371623,-0.30806782868787674,0.007388757430583367,-0.15224634072629667
2602,-1.024482058086421,-0.8257944126227712,0.42426570604416286,-0.28491937874217654,-0.3045171811728927,-0.2581630818923886
4851,-1.1499285433423752,0.8094655625266991,-0.16017891671161705,-0.08705299221271819,0.6372444286899082,-0.10491080252476412
4037,-1.0377023022272203,1.0260112111403148,-0.2471068745537167,-0.3925323879755056,-0.15399243737137427,0.048498490006449076
4746,0.7754472391063472,0.1524653407217349,-0.40750737909507495,-0.5961336282903872,-0.2820945896848892,-0.39531075004695954
617,-0.9804593291547612,-0.7066217620762485,-0.2961882397753802,-0.31042430192034687,-0.036244670238920834,-0.13356910212182083
1989,-1.0760075648442746,0.21194222325205886,-0.2204538152292669,-0.2076582537229619,-0.14163016141324594,-0.23894235931992422
4823,-1.0430743149041095,-0.6248463151111359,0.49145199764026093,-0.36434577983315597,0.01514109461766164,0.13258897475158035
3883,-1.2666261759366033,0.27110691402640935,-0.5663631740614417,0.10127257402305845,0.9739138942568449,-0.03466534270351306
1273,-0.9674079357268232,0.2147663489597339,-0.6367544085144776,-0.5390011945087843,0.15571580647264424,0.0190900534362639
124,0.5995417699500648,0.31781451461892446,-0.2863257085897813,-0.019492812796734326,-0.008339179704918657,-0.48755706163637064
