transaction_id,account_id,date,amount,category,hour,is_fraud,is_holiday,anomaly_score,alert
2102689,448,2025-12-28,4656.2,boleto,6,True,False,0.8453968405649634,True
1912991,26,2025-10-26,2165.5,cartao,1,True,False,0.8429593813243326,True
2008779,3232,2025-11-26,2943.91,PIX,0,True,False,0.8413383140349918,True
2007447,1097,2025-11-26,3817.32,PIX,3,True,False,0.8413383140349918,True
2007621,1380,2025-11-26,3426.03,cartao,3,True,False,0.8413383140349918,True
2114639,3906,2025-12-31,5028.55,PIX,3,True,False,0.8413383140349918,True
1950138,542,2025-11-06,3282.73,boleto,6,True,False,0.8405289497981011,True
1948770,3869,2025-11-05,2456.93,cartao,2,True,False,0.8401245597034726,True
1878173,2012,2025-10-13,3781.04,PIX,6,True,False,0.8397203641665076,True
2087234,101,2025-12-22,2994.91,PIX,4,True,False,0.8397203641665076,True
1965818,3262,2025-11-10,3412.86,PIX,1,True,False,0.8397203641665076,True
2048460,2403,2025-12-08,2908.09,cartao,1,True,False,0.8397203641665076,True
1943675,2648,2025-11-04,3047.0,cartao,6,True,False,0.8393163630936018,True
2006628,4745,2025-11-25,2692.27,PIX,0,True,False,0.8389125563911958,True
1967376,211,2025-11-11,2584.61,PIX,6,True,False,0.8381055257238711,True
1958912,1867,2025-11-08,4251.13,boleto,6,True,False,0.8372992714169585,True
2067262,4677,2025-12-13,3463.72,PIX,5,True,False,0.8372992714169585,True
1874244,2806,2025-10-11,3733.5,PIX,1,True,False,0.8372992714169585,True
2019718,1580,2025-11-30,1573.3,cartao,2,True,False,0.8368964351652362,True
2045698,3466,2025-12-07,1482.59,cartao,6,True,False,0.8364937927236021,True
2080520,3885,2025-12-18,2091.01,PIX,3,True,False,0.8360913439988117,True
2013072,4692,2025-11-27,2030.07,PIX,6,True,False,0.8360913439988117,True
1935446,4420,2025-11-01,2515.81,boleto,5,True,False,0.8360913439988117,True
2088453,2413,2025-12-22,1789.32,cartao,0,True,False,0.835689088897665,True
1871751,3559,2025-10-10,3055.34,cartao,0,True,False,0.835689088897665,True
1973850,4190,2025-11-12,1936.9,PIX,5,True,False,0.8348851591937274,True
1858106,2000,2025-10-07,2018.06,cartao,2,True,False,0.8348851591937274,True
1944312,3458,2025-11-04,2085.51,PIX,3,True,False,0.8348851591937274,True
1935924,626,2025-11-02,1423.57,cartao,0,True,True,0.8348851591937274,True
2034946,2161,2025-12-04,1816.27,saque,1,True,False,0.834483484404761,True
1970501,4449,2025-11-11,2372.53,boleto,1,True,False,0.834483484404761,True
1931436,2622,2025-10-31,2503.11,PIX,0,True,False,0.834483484404761,True
2003838,238,2025-11-25,2284.16,PIX,4,True,False,0.834483484404761,True
2009030,3669,2025-11-26,1793.36,PIX,5,True,False,0.834483484404761,True
2017817,2615,2025-11-29,2468.6,PIX,2,True,False,0.834483484404761,True
1963785,572,2025-11-10,1642.58,boleto,6,True,False,0.834082002867087,True
2069748,324,2025-12-15,1498.96,PIX,6,True,False,0.8336807144877296,True
2039913,3355,2025-12-05,2147.55,cartao,3,True,False,0.8332796191737578,True
2005036,2201,2025-11-25,1925.7,PIX,0,True,False,0.8332796191737578,True
2037904,929,2025-12-05,2084.23,cartao,3,True,False,0.8332796191737578,True
2082666,2867,2025-12-19,2361.53,PIX,3,True,False,0.8328787168322851,True
2034170,1149,2025-12-04,1695.97,PIX,5,True,False,0.8320774906955144,True
2041000,4553,2025-12-05,1899.17,PIX,0,True,False,0.8312770353352196,True
1979617,2681,2025-11-14,1901.58,cartao,2,True,False,0.8312770353352196,True
1878070,1849,2025-10-13,1451.87,cartao,2,True,False,0.830877096464509,True
1888833,3666,2025-10-16,1490.08,boleto,6,True,False,0.8292792642173313,True
2023484,2830,2025-12-01,1319.81,boleto,1,True,False,0.8280829068398151,True
